Institución;URL;status_code
Universidad Adventista del Plata;https://uap.edu.ar/;200.0
Universidad Argentina de la Empresa;https://www.uade.edu.ar;200.0
Universidad Argentina John F. Kennedy;https://www.kennedy.edu.ar/;200.0
Universidad Atlántida Argentina;https://www.atlantida.edu.ar/;403.0
Universidad Austral;https://www.austral.edu.ar;200.0
Universidad Blas Pascal;https://www.ubp.edu.ar/;200.0
Universidad CAECE;https://www.ucaece.edu.ar;200.0
Universidad Católica de Córdoba;https://www.ucc.edu.ar;200.0
Universidad Católica de Cuyo;https://www.uccuyo.edu.ar;200.0
Universidad Católica de La Plata;https://www.ucalp.edu.ar;200.0
Universidad Católica de las Misiones;https://www.ucami.edu.ar;200.0
Universidad Católica de Salta;https://www.ucasal.edu.ar/;200.0
Universidad Católica de Santa Fe;https://www.ucsf.edu.ar/;200.0
Universidad Católica de Santiago del Estero;https://www.ucse.edu.ar;200.0
Universidad Champagnat;https://www.uch.edu.ar;403.0
Universidad de Belgrano;https://www.ub.edu.ar/;200.0
Universidad de Ciencias Empresariales y Sociales;https://www.uces.edu.ar;200.0
Universidad de Concepción del Uruguay;https://www.ucu.edu.ar;403.0
Universidad de Congreso;https://www.ucongreso.edu.ar/;
Universidad de Flores;https://www.uflo.edu.ar;200.0
Universidad del Aconcagua;https://www.uda.edu.ar;200.0
Universidad de la Cuenca del Plata;https://www.ucp.edu.ar;200.0
Universidad de la Fraternidad de Agrupaciones Santo Tomás de Aquino;https://www.ufasta.edu.ar/;200.0
Universidad de la Integración Sudamericana;https://unisud.edu.ar/;200.0
Universidad de la Marina Mercante;https://www.udemm.edu.ar;200.0
Universidad del CEMA;https://www.ucema.edu.ar/;200.0
Universidad del Centro Educativo Latinoamericano;https://www.ucel.edu.ar;200.0
Universidad del Cine;https://www.ucine.edu.ar;200.0
Universidad del Este;https://www.ude.edu.ar;200.0
Universidad del Museo Social Argentino;https://www.umsa.edu.ar;200.0
Universidad del Norte Santo Tomás de Aquino;https://www.unsta.edu.ar/;200.0
Universidad del Salvador;https://www.usal.edu.ar;200.0
Universidad del Sur de Buenos Aires;https://usba.edu.ar/;200.0
Universidad de Mendoza;https://www.um.edu.ar;200.0
Universidad de Morón;https://www.unimoron.edu.ar;200.0
Universidad de Palermo;https://www.palermo.edu;200.0
Universidad de San Andrés;https://www.udesa.edu.ar;200.0
Universidad de San Isidro Dr. Plácido Marín;https://usi.edu.ar/;200.0
Universidad de San Pablo - T;https://www.uspt.edu.ar;200.0
Universidad Empresarial Siglo 21;https://www.21.edu.ar/;200.0
Universidad Evangélica;https://uevangelica.edu.ar/;200.0
Universidad Favaloro;https://www.favaloro.edu.ar;200.0
