nombre;url;doc_language_ok;alt_texts_ok;input_labels_ok;empty_buttons_ok;empty_links_ok;color_contrast_ok;doc_language_fail;alt_texts_fail;input_labels_fail;empty_buttons_fail;empty_links_fail;color_contrast_fail;ratio;clase
Universidad Nacional de Pilar;https://unpilar.edu.ar/;1;9;5;1;120;316;0;4;0;0;1;36;0.9168356997971603;sin_prob_aw
Universidad Nacional de Rafaela;https://www.unraf.edu.ar;1;58;0;1;102;99;0;12;1;0;39;0;0.8338658146964856;sin_prob_aw
Universidad Nacional de Río Cuarto;https://www.unrc.edu.ar;1;5;0;1;111;123;0;3;0;0;10;10;0.9128787878787878;sin_prob_aw
Universidad Nacional de Río Negro;https://www.unrn.edu.ar/home;1;0;0;6;417;256;0;16;2;0;4;305;0.6752730883813307;con_prob_aw
Universidad Nacional de Río Tercero;https://unrt.edu.ar/;1;11;4;3;53;51;0;1;0;0;0;18;0.8661971830985915;sin_prob_aw
Universidad Nacional de Rosario;https://www.unr.edu.ar;1;20;2;7;316;249;0;25;0;2;26;239;0.6708004509582863;con_prob_aw
Universidad Nacional de Salta;https://www.unsa.edu.ar/;1;4;1;18;162;187;0;8;0;0;6;14;0.9301745635910225;sin_prob_aw
Universidad Nacional de San Antonio de Areco;https://www.unsada.edu.ar;1;10;1;2;146;151;0;0;0;0;0;52;0.8567493112947658;sin_prob_aw
Universidad Nacional de San Juan;https://www.unsj.edu.ar/;1;16;0;12;117;134;0;21;2;0;16;14;0.8408408408408409;sin_prob_aw
Universidad Nacional de San Luis;https://www.unsl.edu.ar;1;67;1;2;168;175;0;0;0;0;0;6;0.9857142857142858;sin_prob_aw
Universidad Nacional de San Martín;https://www.unsam.edu.ar;1;24;13;19;210;462;0;17;0;0;16;15;0.9382239382239382;sin_prob_aw
Universidad Nacional de Santiago del Estero;https://www.unse.edu.ar;1;15;87;6;186;280;0;7;1;1;0;13;0.9631490787269682;sin_prob_aw
Universidad Nacional de Tucumán;https://www.unt.edu.ar;1;42;0;0;82;44;0;2;0;0;12;18;0.8407960199004975;sin_prob_aw
Universidad Nacional de Villa María;https://www.unvm.edu.ar;1;4;4;1;230;216;0;40;0;1;2;9;0.8976377952755905;sin_prob_aw
Universidad Nacional de Villa Mercedes;https://www.unvime.edu.ar;1;20;0;9;178;188;0;10;0;13;23;66;0.7795275590551181;sin_prob_aw
Universidad Nacional Guillermo Brown;https://www.unab.edu.ar;1;2;0;0;111;118;0;8;1;0;33;27;0.770764119601329;sin_prob_aw
Universidad Nacional José C. Paz;https://www.unpaz.edu.ar;1;28;1;13;505;349;0;0;0;0;0;227;0.7980427046263345;sin_prob_aw
Universidad Nacional Madres de Plaza de Mayo;https://unma.net.ar/;1;14;0;13;203;240;0;0;0;0;5;6;0.9771784232365145;sin_prob_aw
Universidad Nacional Raúl Scalabrini Ortiz;https://unso.edu.ar/;1;0;0;0;0;0;0;0;0;0;0;0;1.0;sin_prob_aw
Universidad Pedagógica Nacional;https://unipe.edu.ar;1;8;0;6;195;209;0;10;1;0;13;9;0.9269911504424779;sin_prob_aw
Universidad Provincial de Córdoba;https://www.upc.edu.ar;1;8;6;0;183;235;0;4;0;0;6;17;0.941304347826087;sin_prob_aw
Universidad Provincial de Ezeiza;https://www.upe.edu.ar;1;5;0;3;148;161;0;48;1;0;45;17;0.7412587412587412;con_prob_aw
Universidad Provincial de Laguna Blanca;https://uplab.edu.ar/;1;1;0;0;56;58;0;9;0;0;8;6;0.8345323741007195;sin_prob_aw
Universidad Provincial del Sudoeste;https://www.upso.edu.ar;0;0;0;0;0;0;1;0;0;0;0;0;0.0;con_prob_aw
Universidad Tecnológica Nacional;https://www.utn.edu.ar;1;12;0;0;115;107;0;68;0;0;9;36;0.6752873563218391;con_prob_aw
Escuela Universitaria de Teología;https://eut.edu.ar/;1;11;3;11;123;225;0;21;1;6;6;20;0.8738317757009346;sin_prob_aw
Instituto Universitario CEMIC;https://www.iuc.edu.ar;1;0;0;2;5;122;0;0;1;1;0;0;0.9848484848484849;sin_prob_aw
Instituto Universitario CIAS;https://cias.ar/;1;42;0;2;71;47;0;2;0;2;0;14;0.9005524861878453;sin_prob_aw
Instituto Universitario de Ciencias Biomédicas de Córdoba;https://www.iucbc.edu.ar;1;26;2;3;133;137;0;0;7;1;3;41;0.8531073446327684;sin_prob_aw
Instituto Universitario de Ciencias de la Salud de la Fundación Barceló;https://www.barcelo.edu.ar;1;18;0;7;362;367;0;23;3;5;0;5;0.95448798988622;sin_prob_aw
Instituto Universitario de Ciencias Empresariales;https://i-uce.edu.ar/;1;1;0;1;26;65;0;5;4;1;4;28;0.6911764705882353;con_prob_aw
Instituto Universitario del Agua y el Saneamiento;https://www.iuas.edu.ar/;1;0;0;0;87;70;0;7;0;0;0;75;0.6583333333333333;con_prob_aw
